,rt,response,axes,cogr,condition,subj_idx,angle
0,2384.600000001257,1,2.0,0.0,I2,0,20
1,1960.730000002426,1,2.0,0.0,I2,0,20
2,-1.0,0,1.0,1.0,C1,0,20
3,1857.4449999978533,1,1.0,0.0,I1,0,20
4,2672.745000003488,0,2.0,1.0,C2,0,20
5,1869.8799999982584,1,2.0,0.0,I2,0,20
6,1760.9300000004005,0,2.0,1.0,C2,0,20
7,1685.9650000005497,1,2.0,1.0,C2,0,20
8,1701.515000000596,0,1.0,1.0,C1,0,20
9,2940.7600000014063,0,2.0,0.0,I2,0,20
10,3729.079999997397,1,2.0,0.0,I2,0,20
11,2573.4400000000605,0,2.0,0.0,I2,0,20
12,2956.7150000003166,0,2.0,1.0,C2,0,20
13,2186.6700000027195,0,1.0,0.0,I1,0,20
14,2439.225000001956,1,2.0,1.0,C2,0,20
15,2018.8100000013364,0,1.0,0.0,I1,0,20
16,1847.2149999979888,1,2.0,0.0,I2,0,20
17,2408.8049999990035,1,2.0,1.0,C2,0,20
18,2707.385000001523,1,1.0,0.0,I1,0,20
19,1721.3349999983332,1,2.0,1.0,C2,0,20
20,2065.9400000004102,1,1.0,1.0,C1,0,20
21,3250.074999999953,0,1.0,0.0,I1,0,20
22,1896.124999999301,1,1.0,1.0,C1,0,20
23,1814.024999999674,1,1.0,1.0,C1,0,20
24,2715.239999997779,0,2.0,0.0,I2,0,20
25,2396.609999999753,0,2.0,0.0,I2,0,20
26,3070.895000000717,1,1.0,0.0,I1,0,20
27,3359.5499999974845,1,1.0,0.0,I1,0,20
28,1441.6950000013458,1,1.0,1.0,C1,0,20
29,1985.8849999982626,1,2.0,0.0,I2,0,20
30,1615.4250000000463,1,2.0,1.0,C2,0,20
31,1383.9049999987476,1,1.0,0.0,I1,0,20
32,1647.9450000006473,1,1.0,1.0,C1,0,20
33,1777.2150000019465,1,1.0,1.0,C1,0,20
34,1270.0650000006426,1,1.0,0.0,I1,0,20
35,2020.9950000025565,1,1.0,0.0,I1,0,20
36,1517.7199999998556,0,1.0,0.0,I1,0,20
37,1363.6249999981376,1,1.0,0.0,I1,0,20
38,1413.9399999985474,1,2.0,0.0,I2,0,20
39,1399.890000000596,1,2.0,1.0,C2,0,20
40,1113.4050000000282,0,2.0,0.0,I2,0,20
41,2319.3150000006426,1,1.0,1.0,C1,0,20
42,2878.3650000004563,1,1.0,0.0,I1,0,20
43,1520.7699999992035,1,1.0,0.0,I1,0,20
44,1687.305000003195,0,2.0,1.0,C2,0,20
45,2237.130000001285,1,2.0,1.0,C2,0,20
46,2938.6049999993993,0,1.0,1.0,C1,0,20
47,2775.9250000016773,1,2.0,1.0,C2,0,20
48,2391.465000000666,0,2.0,1.0,C2,0,20
49,2308.6750000002794,0,1.0,1.0,C1,0,20
50,2567.349999997532,1,1.0,0.0,I1,0,20
51,2008.5849999996133,1,2.0,0.0,I2,0,20
52,1586.3400000015972,1,1.0,1.0,C1,0,20
53,1292.6799999985378,1,2.0,0.0,I2,0,20
54,1007.004999999539,1,2.0,1.0,C2,0,20
55,2587.424999997835,1,2.0,1.0,C2,0,20
56,1355.410000000149,0,1.0,1.0,C1,0,20
57,3288.504999996861,0,2.0,1.0,C2,0,20
58,830.8900000010617,1,1.0,0.0,I1,0,20
59,888.8000000006286,1,2.0,0.0,I2,0,20
60,1816.754999999888,0,1.0,1.0,C1,0,20
61,1084.7900000007355,1,1.0,1.0,C1,0,20
62,1247.5699999995995,1,1.0,1.0,C1,0,20
63,1222.814999997383,1,2.0,0.0,I2,0,20
64,1443.6949999982025,1,1.0,0.0,I1,0,20
65,1114.6750000007448,1,2.0,0.0,I2,0,20
66,1675.5149999989665,1,2.0,1.0,C2,0,20
67,1171.0200000016487,1,1.0,0.0,I1,0,20
68,2067.4700000018347,1,1.0,0.0,I1,0,20
69,1887.0350000034089,0,2.0,0.0,I2,0,20
70,1179.1349999986126,1,1.0,0.0,I1,0,20
71,1837.630000001984,0,2.0,0.0,I2,0,20
72,1099.2100000004284,1,2.0,0.0,I2,0,20
73,2776.259999998845,0,2.0,1.0,C2,0,20
74,866.1150000006893,1,1.0,1.0,C1,0,20
75,1014.9749999982305,1,1.0,1.0,C1,0,20
76,2695.7199999997392,1,1.0,1.0,C1,0,20
77,2615.555000000168,1,2.0,1.0,C2,0,20
78,1759.6049999992829,1,2.0,1.0,C2,0,20
79,1973.4050000007267,1,1.0,0.0,I1,0,20
80,2303.404999998631,1,2.0,1.0,C2,0,20
81,1290.4249999991152,1,1.0,1.0,C1,0,20
82,2097.545000000391,1,2.0,1.0,C2,0,20
83,1282.2850000010806,1,1.0,1.0,C1,0,20
84,1430.1249999988358,1,1.0,1.0,C1,0,20
85,1026.649999999674,1,2.0,1.0,C2,0,20
86,947.3649999999907,1,1.0,1.0,C1,0,20
87,2491.560000002384,1,1.0,0.0,I1,0,20
88,1833.3999999994405,0,2.0,0.0,I2,0,20
89,804.4749999970662,1,1.0,1.0,C1,0,20
90,2179.3499999984633,1,2.0,0.0,I2,0,20
91,3274.835000000196,1,2.0,0.0,I2,0,20
92,2021.8500000010245,1,1.0,0.0,I1,0,20
93,1040.9450000005306,1,1.0,1.0,C1,0,20
94,750.7750000003723,1,2.0,0.0,I2,0,20
95,1254.809999998426,1,2.0,1.0,C2,0,20
96,1595.8150000006424,1,1.0,1.0,C1,0,20
97,2329.845000000205,0,1.0,0.0,I1,0,20
98,2389.564999997616,0,2.0,1.0,C2,0,20
99,2272.025000002235,1,2.0,0.0,I2,0,20
100,1609.1549999983981,1,2.0,0.0,I2,0,20
101,2513.695000001462,1,1.0,0.0,I1,0,20
102,1838.9750000024208,1,1.0,1.0,C1,0,20
103,1495.5200000002515,1,1.0,1.0,C1,0,20
104,1376.0749999999537,1,2.0,1.0,C2,0,20
105,1752.6749999998135,1,1.0,1.0,C1,0,20
106,1374.8650000013877,1,2.0,0.0,I2,0,20
107,1377.174999997951,1,2.0,0.0,I2,0,20
108,1745.9350000026168,1,2.0,0.0,I2,0,20
109,1549.504999998957,1,1.0,0.0,I1,0,20
110,1094.069999999134,1,2.0,0.0,I2,0,20
111,2042.910000000149,1,2.0,0.0,I2,0,20
112,2198.3650000002235,1,1.0,0.0,I1,0,20
113,2059.910000000149,0,1.0,1.0,C1,0,20
114,2371.539999996312,1,2.0,1.0,C2,0,20
115,3020.4300000004005,1,1.0,0.0,I1,0,20
116,3088.9150000002696,0,2.0,1.0,C2,0,20
117,1590.3199999993667,1,1.0,0.0,I1,0,20
118,1661.1799999992365,0,2.0,0.0,I2,0,20
119,1579.5249999973455,1,2.0,1.0,C2,0,20
120,1935.8050000008661,1,1.0,0.0,I1,0,20
121,1576.5649999992456,1,1.0,1.0,C1,0,20
122,2071.4499999994878,0,2.0,1.0,C2,0,20
123,1475.999999998603,1,1.0,0.0,I1,0,20
124,2127.9099999992177,0,2.0,1.0,C2,0,20
125,2066.4749999996275,0,1.0,0.0,I1,0,20
126,1432.5700000009963,1,1.0,1.0,C1,0,20
127,1504.9199999994598,1,2.0,1.0,C2,0,20
128,2240.4250000000466,0,2.0,0.0,I2,0,20
129,1621.4450000007635,1,2.0,1.0,C2,0,20
130,1020.6199999994133,1,1.0,1.0,C1,0,20
131,1898.495000001276,1,2.0,0.0,I2,0,20
132,1781.8049999987707,1,2.0,1.0,C2,0,20
133,1804.674999999581,0,2.0,0.0,I2,0,20
134,1474.1849999991246,1,2.0,1.0,C2,0,20
135,1477.2749999975783,1,2.0,1.0,C2,0,20
136,1287.8050000036599,1,1.0,1.0,C1,0,20
137,1045.7749999985099,1,1.0,0.0,I1,0,20
